date,stock,open,high,low,close,volume
2013-08-01,1,3.5298,3.5803,3.4919,3.5593,140181480.0
2013-08-02,1,3.6224,3.6602,3.5172,3.5424,130599010.08
2013-08-05,1,3.5551,3.5803,3.5088,3.5761,114532093.44
2013-08-06,1,3.5551,3.6055,3.5088,3.5719,136832821.92
2013-08-07,1,3.5593,3.6813,3.5466,3.5929,163078835.04
2013-08-08,1,3.5761,3.635,3.5593,3.5719,101442839.04
2013-08-09,1,3.5971,3.6182,3.4835,3.5424,113586086.88
2013-08-12,1,3.5551,3.7654,3.5551,3.7402,348283029.6
2013-08-13,1,3.7402,3.8285,3.7191,3.8075,265993148.16
2013-08-14,1,3.8075,3.9295,3.7822,3.7949,240253636.32
2013-08-15,1,3.7907,3.8706,3.7318,3.7402,143087294.88
2013-08-16,1,3.736,4.1146,3.6602,3.7949,466380051.84
2013-08-19,1,3.7444,3.9842,3.736,3.9463,301891243.68
2013-08-20,1,3.9337,4.0599,3.8832,3.9379,268242343.2
2013-08-21,1,3.98,3.98,3.8538,3.9,132006729.6
2013-08-22,1,3.8748,4.0178,3.8664,3.9127,158810745.6
2013-08-23,1,3.9547,3.9758,3.7865,3.8538,157275244.8
2013-08-26,1,3.8538,3.9716,3.8243,3.9253,160796184.48
2013-08-27,1,3.9169,3.9674,3.8622,3.8958,119422634.4
2013-08-28,1,3.8496,3.8874,3.7865,3.8454,126411572.16
2013-08-29,1,3.8916,3.9127,3.8117,3.8369,109351978.56
2013-08-30,1,3.8369,3.8622,3.7696,3.7991,174611736.0
2013-09-02,1,3.8454,3.9,3.8033,3.8327,173355864.48
2013-09-03,1,3.8748,3.9758,3.8538,3.9169,248532282.72
2013-09-04,1,3.9253,4.0094,3.9127,3.9295,201432068.64
2013-09-05,1,3.9379,3.9632,3.8958,3.9379,85978009.44
2013-09-06,1,3.9337,3.9968,3.9127,3.9632,176438727.36
2013-09-09,1,3.9968,4.3418,3.9968,4.2913,590892517.44
2013-09-10,1,4.3289,4.3332,4.1879,4.299,347612656.32
2013-09-11,1,4.3075,4.4486,4.2605,4.2734,273415985.28
2013-09-12,1,4.2734,4.487,4.2135,4.3759,422513061.12
2013-09-13,1,4.3075,4.3289,4.158,4.205,340249998.24
2013-09-16,1,4.2392,4.4699,4.0811,4.3503,537630331.68
2013-09-17,1,4.5084,4.6494,4.3375,4.3802,675548330.4
2013-09-18,1,4.346,4.4272,4.2306,4.3417,301056396.48
2013-09-23,1,4.3545,4.3845,4.2776,4.3375,293106686.4
2013-09-24,1,4.3503,4.3503,4.1281,4.158,283890136.32
2013-09-25,1,4.1665,4.2477,4.0811,4.1281,187596217.44
2013-09-26,1,4.1024,4.1152,4.034,4.0554,287491701.6
2013-09-27,1,4.0511,4.0981,4.0041,4.0511,155803884.48
2013-09-30,1,4.0939,4.0939,4.017,4.0853,108909108.0
2013-10-08,1,4.0597,4.1452,3.9828,4.1195,157949490.24
2013-10-09,1,4.1067,4.2263,4.0811,4.1665,167350536.0
2013-10-10,1,4.205,4.205,4.0597,4.0597,125162683.2
2013-10-11,1,4.1024,4.1793,4.0426,4.1409,205296528.96
2013-10-14,1,4.1238,4.1409,4.0255,4.0426,159520538.88
2013-10-15,1,4.0469,4.0554,3.9657,3.9828,128564595.36
2013-10-16,1,3.9699,3.9742,3.893,3.9101,155748795.84
2013-10-17,1,3.9358,3.9529,3.8674,3.8802,139493479.68
2013-10-18,1,3.8888,3.9486,3.8631,3.9016,171830070.72
2013-10-21,1,3.9058,3.94,3.846,3.9272,139755260.16
2013-10-22,1,3.9101,3.9101,3.8289,3.846,162615287.52
2013-10-23,1,3.8802,3.9699,3.8076,3.8759,237641060.16
2013-10-24,1,3.8546,3.8802,3.799,3.8076,166444705.44
2013-10-25,1,3.8076,3.9016,3.7905,3.8375,269793714.24
2013-10-28,1,3.8332,3.8375,3.7435,3.7947,129503769.12
2013-10-29,1,3.799,3.987,3.799,3.9101,324156166.56
2013-10-30,1,3.9229,3.94,3.8546,3.9229,154795597.92
2013-10-31,1,3.8546,3.8546,3.7776,3.8289,225855656.64
2013-11-01,1,3.8417,3.9358,3.8204,3.9187,195862883.04
2013-11-04,1,3.9571,3.9956,3.8888,3.9058,104160931.2
2013-11-05,1,3.8802,3.893,3.799,3.8759,137021783.04
2013-11-06,1,3.8417,3.8417,3.7947,3.8033,156975370.56
2013-11-07,1,3.8033,3.8289,3.7691,3.8161,100672539.84
2013-11-08,1,3.799,3.8204,3.7477,3.7477,116011239.84
2013-11-11,1,3.752,3.7947,3.7264,3.7905,141955014.24
2013-11-12,1,3.8033,3.8375,3.7819,3.8204,114568048.8
2013-11-13,1,3.7648,3.7734,3.6281,3.6537,222797403.36
2013-11-14,1,3.6366,3.6708,3.5469,3.6494,186429268.8
2013-11-15,1,3.6494,3.7392,3.6153,3.6879,203645388.96
2013-11-18,1,3.7093,3.8247,3.6238,3.8033,416250336.96
2013-11-19,1,3.7862,3.7862,3.7178,3.7306,227675664.0
2013-11-20,1,3.7648,3.7819,3.6965,3.7306,177264830.88
2013-11-21,1,3.7093,3.7093,3.611,3.6665,237592163.52
2013-11-22,1,3.6922,3.6922,3.6537,3.658,143935359.84
2013-11-25,1,3.6366,3.6836,3.6153,3.6366,115654910.4
2013-11-26,1,3.6366,3.6537,3.6195,3.6195,123562111.68
2013-11-27,1,3.6195,3.6751,3.611,3.6494,174714744.96
2013-11-28,1,3.658,3.705,3.6409,3.6665,141407585.28
2013-11-29,1,3.6879,3.7007,3.6665,3.6708,105980205.6
2013-12-02,1,3.6665,3.7435,3.6366,3.7007,390307455.36
2013-12-03,1,3.705,3.705,3.6366,3.6665,199368737.28
2013-12-04,1,3.6537,3.7178,3.6409,3.6794,230004928.8
2013-12-05,1,3.6708,3.6836,3.6494,3.658,134595853.92
2013-12-06,1,3.6537,3.658,3.6324,3.6537,118821752.64
2013-12-09,1,3.6665,3.6665,3.6153,3.6281,146598461.28
2013-12-10,1,3.6409,3.6452,3.611,3.6195,191355759.36
2013-12-11,1,3.5939,3.6024,3.5469,3.5554,192780112.32
2013-12-12,1,3.5469,3.5725,3.5212,3.5383,126917087.04
2013-12-13,1,3.5255,3.5512,3.5041,3.5341,128779283.52
2013-12-16,1,3.5426,3.5512,3.4913,3.4956,116563291.2
2013-12-17,1,3.5084,3.5127,3.4614,3.4742,126199804.32
2013-12-18,1,3.47,3.4913,3.4529,3.4657,105283797.12
2013-12-19,1,3.4828,3.4828,3.3418,3.3674,260441560.8
2013-12-20,1,3.3759,3.3802,3.2648,3.3247,252447804.0
2013-12-23,1,3.3076,3.3161,3.2477,3.2777,167840884.8
2013-12-24,1,3.2777,3.3033,3.2307,3.2777,146991084.48
2013-12-25,1,3.2734,3.2819,3.2392,3.2777,111037049.28
2013-12-26,1,3.2691,3.2734,3.2349,3.2349,117726032.16
2013-12-27,1,3.2435,3.299,3.2349,3.2777,154425864.96
2013-12-30,1,3.2862,3.2948,3.2307,3.2349,169693531.2
2013-12-31,1,3.2178,3.3161,3.205,3.299,221238606.24
